City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
513,el jadid,33.2549,-8.506,15.89,76,13,4.07,MA,1712546031
514,howrah,22.5892,88.3103,28.0,57,75,2.57,IN,1712546032
515,xam nua,20.4197,104.0439,32.97,37,3,0.98,LA,1712546032
516,loa janan,-0.583,117.095,31.93,60,100,2.26,ID,1712546032
517,shingu,33.7333,135.9833,16.9,94,100,2.68,JP,1712546033
518,nastola,60.95,25.9333,2.13,91,0,3.37,FI,1712546033
519,okondja,-0.6549,13.6753,21.67,99,100,0.63,GA,1712546034
520,beinamar,8.6698,15.3813,26.65,57,95,2.01,TD,1712546034
521,nizhneudinsk,54.9076,99.0276,0.73,60,93,5.4,RU,1712546034
522,daru,-9.0763,143.2092,30.42,70,100,2.76,PG,1712546035
523,felipe carrillo puerto,19.5833,-88.05,24.56,78,0,2.62,MX,1712546035
524,itaituba,-4.2761,-55.9836,23.74,98,64,0.65,BR,1712545798
525,figuig (centre),32.1089,-1.2286,21.25,16,100,5.0,MA,1712546036
526,contamana,-7.3333,-75.0167,24.19,90,57,0.95,PE,1712546037
527,bethanie,-26.4833,17.15,10.94,71,0,4.27,NA,1712546037
528,zabaykal'sk,49.6333,117.3167,2.37,16,0,3.81,RU,1712546037
529,trapani,37.8333,12.6667,14.12,21,61,1.5,IT,1712546038
530,chicoana,-25.1009,-65.5331,16.15,89,9,0.86,AR,1712545993
531,champerico,14.3,-91.9167,28.48,73,100,4.2,GT,1712546039
532,kuvshinovo,57.0295,34.1725,7.92,89,100,4.54,RU,1712546039
533,umm kaddadah,13.6017,26.6876,22.21,16,6,5.62,SD,1712546040
534,sos'va,59.1766,61.8558,0.03,98,94,4.92,RU,1712546040
535,la romana,18.4273,-68.9728,26.2,94,75,0.0,DO,1712546029
536,timaru,-44.4,171.25,16.15,79,5,2.24,NZ,1712546041
537,port douglas,-16.4833,145.4667,28.86,68,100,3.14,AU,1712545989
538,rudsar,37.1376,50.288,12.05,82,100,2.3,IR,1712546042
539,iglino,54.8324,56.4126,4.25,98,100,2.71,RU,1712546042
540,junin de los andes,-39.9504,-71.0694,11.81,83,86,3.0,AR,1712546043
541,chibuto,-24.6867,33.5306,20.3,86,100,1.96,MZ,1712546043
542,sambava,-14.2667,50.1667,24.42,89,33,3.44,MG,1712546044
543,lerwick,60.1545,-1.1494,9.0,73,76,13.61,GB,1712546044
544,lazaro cardenas,17.9583,-102.2,23.29,79,18,2.95,MX,1712546021
545,pionerskiy,54.9508,20.2275,11.75,78,54,2.82,RU,1712546045
546,kotlas,61.2611,46.6556,-3.3,89,100,1.34,RU,1712546045
547,mount darwin,-16.7725,31.5838,16.98,99,52,1.4,ZW,1712546046
548,half moon bay,37.4636,-122.4286,13.39,75,0,8.23,US,1712545828
549,najran,17.4924,44.1277,23.36,54,13,2.07,SA,1712545757
550,tofol,5.3248,163.0078,28.88,84,100,5.66,FM,1712546047
551,kralendijk,12.15,-68.2667,27.99,78,47,8.23,BQ,1712546048
552,brainerd,46.358,-94.2008,4.16,94,100,4.12,US,1712546048
553,chandler,33.3062,-111.8412,20.5,22,0,1.54,US,1712546035
554,flying fish cove,-10.4217,105.6791,28.82,74,40,5.66,CX,1712546049
555,wajir,1.7471,40.0573,26.07,83,100,2.57,KE,1712546049
556,simanggang,1.2472,111.4528,32.91,59,56,0.83,MY,1712546050
557,hauterive,46.0901,3.4459,10.42,85,89,0.78,FR,1712545837
558,thunder bay,48.4001,-89.3168,1.72,84,99,2.47,CA,1712546051
559,kampene,-3.6,26.6667,19.93,100,99,0.67,CD,1712546051
560,ivdel',60.6911,60.4206,-2.21,82,54,3.13,RU,1712546051
561,kunduz,36.75,68.75,19.0,52,30,0.45,AF,1712546052
562,guelendeng,10.9176,15.5501,26.94,58,47,2.03,TD,1712546052
563,muravlenko,63.7898,74.523,-4.36,95,100,10.2,RU,1712546053
564,jishui,33.7333,115.4,20.08,52,87,1.98,CN,1712546053
565,runka,12.4479,7.3092,30.77,22,96,1.29,NG,1712546054
566,vershino-darasunskiy,52.35,115.5167,2.53,19,0,2.12,RU,1712546054
567,kyneton,-37.25,144.4333,20.1,54,2,3.13,AU,1712546055
568,chibougamau,49.9168,-74.3659,-1.38,98,11,1.84,CA,1712546055
569,kalix,65.853,23.1565,-2.95,98,100,0.96,SE,1712546055
570,dickinson,29.4608,-95.0513,23.95,90,100,4.63,US,1712546056
571,cartagena del chaira,1.3349,-74.8429,23.03,97,95,0.93,CO,1712546056
572,maragogi,-9.0122,-35.2225,26.22,84,100,1.78,BR,1712546057
573,souillac,-20.5167,57.5167,23.53,88,3,1.54,MU,1712546057
574,verkhnevilyuysk,63.4453,120.3167,-3.22,93,100,1.32,RU,1712546058
575,vytegra,61.0064,36.4481,6.31,86,100,6.71,RU,1712546058
576,kenora,49.8167,-94.4337,4.26,80,60,3.83,CA,1712546058
